XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1721233,44730000;5953886,07540000;16;Haus am Ruckerlberg, betreutes Wohnen;Nibelungengasse 73;8010;Graz;+43(0)316/321608;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,072319;15,462103
1713932,81750000;5953371,31290000;17;Sanlas, Seniorenresidenz Eggenberg;Eckertstraﬂe 98-98a;8020;Graz;+43(0)316/586601;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,069168;15,396521
1717692,17160000;5952461,17290000;18;Geriatrische Gesundheitszentren (GGZ) der Stadt Graz;Albert-Schweitzer-Gasse 36;8020;Graz;+43(0)316/7060-1110;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,063599;15,430291
1716479,05350000;5954780,93130000;19;Humanitas Stadtresidenz Seniorenheim GmbH;Babenbergerstraﬂe 80;8020;Graz;+43(0)316/712323;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,077793;15,419394
1718858,92510000;5955834,57850000;20;Haus Lamberg Pflege mit Tradition;Grillparzerstraﬂe 50;8010;Graz;+43(0)316/323345;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,084236;15,440772
1722134,06350000;5955037,05260000;21;Haus der Barmherzigkeit;Riesstraﬂe 27-35;8010;Graz;+43(0)316/322342;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,079357;15,470194
1725073,36610000;5960587,67420000;22;Senioren- und Pflegeheim Fischbacher;Fˆllinger Straﬂe 21;8044;Graz;+43(0)316/391577  +43(0)699/133345 45;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,113304;15,496597
1720023,11460000;5955498,74400000;23;Pflegewohnheim Rosenhain;Max-Mell-Allee 16;8010;Graz;+43(0)316/7060-3999 (Vermittlung);Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,082184;15,451231
1721464,40440000;5954771,58980000;24;Odilien Seniorenheim;Leonhardstraﬂe 130;8010;Graz;+43(0)316/322667-22;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,077736;15,464178
1721305,76090000;5955099,97000000;25;Haus am Hilmteich;Hilmteichstraﬂe 11;8010;Graz;+43(0)316/386892, +43(0)664/82 97 943;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,079742;15,462752
1713101,57020000;5951986,80720000;26;Miteinander leben, Organisation;Hangweg 29;8052;Graz;+43(0)316/825266;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,060696;15,389053
1717905,16170000;5954313,93130000;27;Miteinander leben, Fellingergasse;Fellingergasse 7;8020;Graz;+43(0);Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,074936;15,432204
1718437,34170000;5951691,20610000;28;Pflegeheim HKP Residenz;Neuholdaugasse 34;8010;Graz;+43(0)316/833101;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,058887;15,436985
1712992,56600000;5951178,70630000;29;Volkshilfe Seniorenzentrum Haus-Wetzelsdorf;Krottendorfer Straﬂe 14;8052;Graz;+43(0)316/582040;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,055752;15,388074
1722592,02130000;5947822,03010000;30;Haus der Senioren Liebenau;Messendorfer Straﬂe 79;8041;Graz;+43(0)316/409180;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,035202;15,474307
1715768,71940000;5951034,80860000;31;SeneCura AIS Brauchart Pflegeheim GmbH;Peter-Rosegger-Straﬂe 9;8052;Graz;+43(0)316/271427;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,054871;15,413013
